ID,Категория,Сценарий,Альтернатива,Дата_создания,Критерий_Заработная плата,Критерий_Карьерный рост,Критерий_Work-life balance,Критерий_Стабильность,Критерий_Престиж,Критерий_Интерес к работе,Критерий_Возможности обучения,Критерий_Рабочая атмосфера,Тревожность,Временное_давление,Важность_решения,Доступность_информации,Опыт_в_области,Финансовые_ресурсы,Социальная_поддержка,Эмоциональное_состояние,Уверенность_в_себе,Склонность_к_риску,Общая_оценка,Индекс_тревожности,Время_на_решение_часы,Уровень_сложности,Влияние_на_будущее,Обратимость_решения,Количество_заинтересованных_сторон,Критерий_Доходность,Критерий_Риск потерь,Критерий_Ликвидность,Критерий_Минимальная сумма,Критерий_Сроки инвестирования,Критерий_Налоговые льготы,Критерий_Инфляционная защита,Критерий_Простота управления,Критерий_Эмоциональная совместимость,Критерий_Финансовая стабильность,Критерий_Общие ценности,Критерий_Семейные планы,Критерий_Взаимная поддержка,Критерий_Физическая привлекательность,Критерий_Социальный статус,Критерий_Готовность к компромиссам,Критерий_Эффективность,Критерий_Стоимость,Критерий_Безопасность,Критерий_Время на выполнение,Критерий_Доступность,Критерий_Побочные эффекты,Критерий_Научная обоснованность,Критерий_Долгосрочные результаты,Критерий_Цена,Критерий_Местоположение,Критерий_Площадь,Критерий_Состояние жилья,Критерий_Инфраструктура,Критерий_Транспортная доступность,Критерий_Экология,Критерий_Безопасность района,Критерий_Бюджет поездки,Критерий_Климат,Критерий_Культурные достопримечательности,Критерий_Языковой барьер,Критерий_Виза и документы,Критерий_Качество сервиса,Критерий_Отзывы туристов,Критерий_Цена товара,Критерий_Качество,Критерий_Бренд,Критерий_Функциональность,Критерий_Дизайн,Критерий_Гарантия,Критерий_Отзывы покупателей,Критерий_Экологичность,Критерий_Общие интересы,Критерий_Время на общение,Критерий_Эмоциональная поддержка,Критерий_Взаимная выгода,Критерий_Надежность людей,Критерий_Позитивное влияние,Критерий_Географическая близость,Критерий_Личный интерес,Критерий_Стоимость занятий,Критерий_Время на хобби,Критерий_Социальные возможности,Критерий_Развитие навыков,Критерий_Физическая нагрузка,Критерий_Творческое самовыражение,Критерий_Практическая польза,Критерий_Духовная значимость,Критерий_Временные затраты,Критерий_Стоимость обучения,Критерий_Социальное принятие,Критерий_Совместимость с убеждениями,Критерий_Долгосрочное развитие,Критерий_Удобство использования,Критерий_Безопасность данных,Критерий_Стоимость услуг,Критерий_Совместимость,Критерий_Скорость работы,Критерий_Техническая поддержка,Критерий_Обновления и развитие,Критерий_Уровень защиты,Критерий_Стоимость решения,Критерий_Надежность системы,Критерий_Простота использования,Критерий_Скорость реагирования,Критерий_Покрытие рисков,Критерий_Репутация провайдера,Критерий_Гибкость условий
91,Отношения и семья,Уход за пожилыми родителями,Вариант_2,2025-02-20 06:42:47.817928,,,,,,,,,Средняя,Высокое,Средняя,Недостаточная,Эксперт,Значительные,Отсутствует,Позитивное,Средняя,Принятие,4.9,6,13.6,10,2,Легко обратимо,4,,,,,,,,,6.5,3.0,2.2,2.4,7.7,6.5,4.7,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Отношения и семья,Уход за пожилыми родителями,Вариант_3,2024-11-07 06:42:47.817974,,,,,,,,,Средняя,Нет,Критическая,Недостаточная,Эксперт,Умеренные,Слабая,Позитивное,Низкая,Принятие,6.4,8,113.2,5,1,Частично обратимо,5,,,,,,,,,5.8,2.5,8.7,5.0,7.1,7.5,5.4,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Отношения и семья,Выбор образования для детей,Вариант_1,2025-05-08 06:42:47.818020,,,,,,,,,Низкая,Умеренное,Критическая,Недостаточная,Новичок,Значительные,Сильная,Позитивное,Средняя,Нейтральная,5.4,7,75.6,7,7,Легко обратимо,3,,,,,,,,,6.2,1.4,4.1,1.6,9.9,9.4,1.6,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Отношения и семья,Выбор образования для детей,Вариант_2,2024-09-27 06:42:47.818067,,,,,,,,,Средняя,Умеренное,Критическая,Избыточная,Средний,Ограниченные,Отсутствует,Нейтральное,Средняя,Избегание,6.7,5,32.1,2,1,Необратимо,7,,,,,,,,,8.7,2.1,9.9,4.5,2.1,9.8,8.5,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Отношения и семья,Выбор образования для детей,Вариант_3,2024-10-17 06:42:47.818112,,,,,,,,,Низкая,Нет,Низкая,Достаточная,Средний,Ограниченные,Сильная,Негативное,Низкая,Избегание,4.7,9,166.9,4,10,Частично обратимо,6,,,,,,,,,7.9,9.0,1.1,2.9,1.9,1.3,6.4,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Здоровье и фитнес,Выбор спортивного зала,Вариант_1,2025-03-26 06:42:47.818160,,,,,,,,,Низкая,Высокое,Критическая,Избыточная,Средний,Ограниченные,Слабая,Позитивное,Высокая,Нейтральная,6.6,9,53.9,7,7,Легко обратимо,5,,,,,,,,,,,,,,,,,8.9,9.9,5.7,4.7,3.5,6.0,6.3,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Здоровье и фитнес,Выбор спортивного зала,Вариант_2,2025-02-16 06:42:47.818211,,,,,,,,,Средняя,Умеренное,Средняя,Достаточная,Новичок,Умеренные,Отсутствует,Нейтральное,Высокая,Избегание,4.0,8,142.4,2,9,Необратимо,4,,,,,,,,,,,,,,,,,2.7,5.8,3.2,3.0,8.7,2.3,5.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Здоровье и фитнес,Выбор спортивного зала,Вариант_3,2025-08-01 06:42:47.818256,,,,,,,,,Средняя,Нет,Высокая,Достаточная,Новичок,Ограниченные,Отсутствует,Позитивное,Низкая,Принятие,6.2,8,153.7,10,4,Частично обратимо,4,,,,,,,,,,,,,,,,,3.4,7.1,6.4,8.9,2.7,7.9,7.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Здоровье и фитнес,Смена диеты,Вариант_1,2025-03-16 06:42:47.818301,,,,,,,,,Высокая,Умеренное,Высокая,Недостаточная,Средний,Умеренные,Слабая,Негативное,Высокая,Избегание,4.8,3,3.2,9,10,Необратимо,7,,,,,,,,,,,,,,,,,8.0,4.4,5.8,4.2,3.4,5.6,5.5,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Здоровье и фитнес,Смена диеты,Вариант_2,2025-03-29 06:42:47.818386,,,,,,,,,Средняя,Высокое,Критическая,Достаточная,Новичок,Значительные,Слабая,Негативное,Низкая,Принятие,5.3,9,82.3,9,1,Необратимо,1,,,,,,,,,,,,,,,,,2.4,4.0,4.4,8.5,5.5,6.9,7.2,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Здоровье и фитнес,Смена диеты,Вариант_3,2025-07-20 06:42:47.818442,,,,,,,,,Высокая,Умеренное,Высокая,Недостаточная,Эксперт,Значительные,Сильная,Позитивное,Средняя,Принятие,6.2,8,3.1,9,9,Частично обратимо,1,,,,,,,,,,,,,,,,,9.5,7.0,7.9,4.7,8.6,3.1,7.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Здоровье и фитнес,Смена диеты,Вариант_4,2025-08-19 06:42:47.818490,,,,,,,,,Низкая,Нет,Средняя,Недостаточная,Новичок,Значительные,Сильная,Нейтральное,Средняя,Нейтральная,6.6,7,13.7,7,8,Необратимо,4,,,,,,,,,,,,,,,,,5.8,3.5,9.8,1.2,8.3,7.1,8.3,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Здоровье и фитнес,Смена диеты,Вариант_5,2024-09-05 06:42:47.818536,,,,,,,,,Высокая,Умеренное,Низкая,Избыточная,Новичок,Значительные,Отсутствует,Негативное,Средняя,Нейтральная,6.0,6,95.3,2,9,Легко обратимо,4,,,,,,,,,,,,,,,,,3.0,7.2,8.6,6.9,8.7,7.8,1.8,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Здоровье и фитнес,Лечение у врача,Вариант_1,2024-09-07 06:42:47.818596,,,,,,,,,Средняя,Нет,Средняя,Избыточная,Новичок,Значительные,Слабая,Негативное,Средняя,Избегание,5.4,10,40.8,7,9,Частично обратимо,7,,,,,,,,,,,,,,,,,9.0,5.3,1.4,1.7,9.3,9.1,6.1,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Здоровье и фитнес,Лечение у врача,Вариант_2,2025-06-17 06:42:47.818648,,,,,,,,,Высокая,Высокое,Критическая,Достаточная,Новичок,Значительные,Слабая,Нейтральное,Средняя,Избегание,4.4,6,93.1,7,7,Легко обратимо,7,,,,,,,,,,,,,,,,,8.1,7.2,1.7,7.7,4.1,1.9,3.1,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Здоровье и фитнес,Лечение у врача,Вариант_3,2025-07-15 06:42:47.818727,,,,,,,,,Средняя,Умеренное,Высокая,Недостаточная,Новичок,Ограниченные,Слабая,Нейтральное,Средняя,Нейтральная,4.4,2,22.7,3,7,Частично обратимо,7,,,,,,,,,,,,,,,,,7.9,3.7,3.2,1.7,3.4,4.4,8.1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Здоровье и фитнес,Профилактические обследования,Вариант_1,2025-08-14 06:42:47.818866,,,,,,,,,Высокая,Высокое,Средняя,Избыточная,Эксперт,Ограниченные,Сильная,Нейтральное,Низкая,Избегание,5.6,5,50.9,8,3,Легко обратимо,3,,,,,,,,,,,,,,,,,1.8,6.0,6.4,8.1,8.8,1.1,4.7,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Здоровье и фитнес,Профилактические обследования,Вариант_2,2025-01-17 06:42:47.818935,,,,,,,,,Средняя,Нет,Средняя,Достаточная,Новичок,Умеренные,Слабая,Позитивное,Средняя,Нейтральная,6.1,8,56.6,10,3,Частично обратимо,6,,,,,,,,,,,,,,,,,3.5,3.7,8.0,4.3,9.5,7.5,5.5,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Здоровье и фитнес,Профилактические обследования,Вариант_3,2024-10-23 06:42:47.818985,,,,,,,,,Высокая,Нет,Высокая,Достаточная,Средний,Умеренные,Слабая,Негативное,Высокая,Избегание,6.5,10,167.5,3,9,Легко обратимо,8,,,,,,,,,,,,,,,,,9.5,2.8,3.8,9.7,9.7,3.6,7.3,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Здоровье и фитнес,Отказ от вредных привычек,Вариант_1,2025-05-12 06:42:47.819035,,,,,,,,,Низкая,Умеренное,Средняя,Избыточная,Средний,Умеренные,Отсутствует,Нейтральное,Высокая,Нейтральная,6.2,10,67.6,9,7,Необратимо,1,,,,,,,,,,,,,,,,,4.9,3.6,7.2,8.4,8.2,4.7,5.5,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Здоровье и фитнес,Отказ от вредных привычек,Вариант_2,2025-02-24 06:42:47.819080,,,,,,,,,Высокая,Нет,Критическая,Достаточная,Средний,Ограниченные,Отсутствует,Негативное,Средняя,Избегание,5.7,9,125.6,9,10,Необратимо,4,,,,,,,,,,,,,,,,,7.3,8.3,6.3,9.2,2.0,3.2,7.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Здоровье и фитнес,Отказ от вредных привычек,Вариант_3,2025-01-11 06:42:47.819128,,,,,,,,,Низкая,Нет,Средняя,Достаточная,Средний,Умеренные,Слабая,Негативное,Высокая,Нейтральная,5.7,6,80.3,8,8,Частично обратимо,2,,,,,,,,,,,,,,,,,4.4,5.2,7.1,7.2,2.4,10.0,5.3,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Здоровье и фитнес,Отказ от вредных привычек,Вариант_4,2025-03-27 06:42:47.819175,,,,,,,,,Высокая,Нет,Средняя,Достаточная,Эксперт,Умеренные,Слабая,Негативное,Средняя,Принятие,5.2,3,31.7,7,7,Легко обратимо,4,,,,,,,,,,,,,,,,,1.4,7.4,1.2,4.1,2.0,8.2,9.4,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Здоровье и фитнес,Отказ от вредных привычек,Вариант_5,2025-01-09 06:42:47.819231,,,,,,,,,Высокая,Нет,Высокая,Достаточная,Новичок,Умеренные,Отсутствует,Нейтральное,Высокая,Нейтральная,5.1,9,162.3,6,10,Частично обратимо,7,,,,,,,,,,,,,,,,,6.3,4.5,7.3,2.9,7.8,8.3,1.6,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Здоровье и фитнес,Выбор медицинской страховки,Вариант_1,2025-06-30 06:42:47.819278,,,,,,,,,Низкая,Умеренное,Низкая,Недостаточная,Средний,Ограниченные,Отсутствует,Нейтральное,Высокая,Избегание,5.9,9,65.6,10,3,Необратимо,7,,,,,,,,,,,,,,,,,4.1,8.6,6.6,8.3,7.4,3.7,6.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Здоровье и фитнес,Выбор медицинской страховки,Вариант_2,2025-01-23 06:42:47.819331,,,,,,,,,Средняя,Умеренное,Низкая,Достаточная,Новичок,Умеренные,Отсутствует,Негативное,Средняя,Принятие,5.9,9,109.9,7,8,Частично обратимо,8,,,,,,,,,,,,,,,,,2.7,6.7,7.2,6.8,10.0,6.0,5.4,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Здоровье и фитнес,Выбор медицинской страховки,Вариант_3,2024-12-20 06:42:47.819436,,,,,,,,,Высокая,Высокое,Критическая,Избыточная,Эксперт,Ограниченные,Сильная,Негативное,Средняя,Принятие,4.5,6,91.3,1,8,Необратимо,4,,,,,,,,,,,,,,,,,2.5,6.1,8.2,3.0,1.3,3.0,3.6,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Здоровье и фитнес,Выбор медицинской страховки,Вариант_4,2025-01-22 06:42:47.819488,,,,,,,,,Средняя,Нет,Средняя,Недостаточная,Эксперт,Значительные,Сильная,Нейтральное,Высокая,Принятие,6.2,7,28.3,3,4,Легко обратимо,1,,,,,,,,,,,,,,,,,1.9,8.5,7.8,3.7,10.0,5.0,4.1,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Здоровье и фитнес,Выбор медицинской страховки,Вариант_5,2024-11-09 06:42:47.819536,,,,,,,,,Высокая,Нет,Средняя,Достаточная,Новичок,Умеренные,Сильная,Негативное,Высокая,Избегание,5.0,4,25.0,6,4,Необратимо,7,,,,,,,,,,,,,,,,,4.2,3.5,5.8,3.9,7.3,3.6,3.4,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Здоровье и фитнес,Хирургическое вмешательство,Вариант_1,2025-06-16 06:42:47.819585,,,,,,,,,Средняя,Высокое,Высокая,Достаточная,Средний,Умеренные,Сильная,Негативное,Высокая,Избегание,5.3,8,106.8,6,2,Необратимо,7,,,,,,,,,,,,,,,,,6.2,3.4,4.7,5.1,6.7,8.9,1.8,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Здоровье и фитнес,Хирургическое вмешательство,Вариант_2,2025-05-08 06:42:47.819633,,,,,,,,,Средняя,Высокое,Низкая,Недостаточная,Новичок,Значительные,Слабая,Негативное,Низкая,Избегание,6.0,8,77.0,7,4,Необратимо,3,,,,,,,,,,,,,,,,,9.7,8.4,5.5,3.9,3.6,5.9,2.2,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Здоровье и фитнес,Хирургическое вмешательство,Вариант_3,2024-09-29 06:42:47.819683,,,,,,,,,Низкая,Умеренное,Высокая,Избыточная,Эксперт,Ограниченные,Слабая,Позитивное,Низкая,Принятие,5.4,2,0.7,8,2,Легко обратимо,4,,,,,,,,,,,,,,,,,3.7,8.9,8.9,1.8,4.2,1.7,7.0,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Здоровье и фитнес,Хирургическое вмешательство,Вариант_4,2024-12-05 06:42:47.819742,,,,,,,,,Средняя,Нет,Низкая,Недостаточная,Средний,Умеренные,Слабая,Негативное,Средняя,Избегание,5.3,3,12.0,10,1,Необратимо,3,,,,,,,,,,,,,,,,,7.1,1.1,7.3,8.4,9.9,4.8,2.2,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Здоровье и фитнес,Психологическая терапия,Вариант_1,2025-03-01 06:42:47.819790,,,,,,,,,Низкая,Высокое,Критическая,Достаточная,Средний,Умеренные,Отсутствует,Негативное,Средняя,Принятие,5.1,2,42.1,10,10,Необратимо,5,,,,,,,,,,,,,,,,,7.5,6.7,2.4,4.7,7.2,8.7,1.8,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Здоровье и фитнес,Психологическая терапия,Вариант_2,2024-09-08 06:42:47.819836,,,,,,,,,Низкая,Умеренное,Критическая,Недостаточная,Новичок,Умеренные,Сильная,Позитивное,Низкая,Принятие,5.2,1,165.8,6,3,Частично обратимо,7,,,,,,,,,,,,,,,,,1.2,8.6,8.9,2.8,6.5,2.7,4.5,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Здоровье и фитнес,Психологическая терапия,Вариант_3,2025-02-21 06:42:47.819883,,,,,,,,,Низкая,Умеренное,Высокая,Избыточная,Эксперт,Значительные,Слабая,Нейтральное,Высокая,Нейтральная,4.4,2,107.8,9,10,Легко обратимо,5,,,,,,,,,,,,,,,,,5.9,2.6,5.2,9.9,1.7,6.3,1.1,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Здоровье и фитнес,Психологическая терапия,Вариант_4,2025-07-16 06:42:47.819939,,,,,,,,,Высокая,Высокое,Низкая,Достаточная,Эксперт,Умеренные,Сильная,Негативное,Низкая,Избегание,5.8,2,155.4,2,8,Необратимо,1,,,,,,,,,,,,,,,,,3.8,5.6,2.8,8.3,5.8,4.5,6.7,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Жильё и недвижимость,Покупка квартиры,Вариант_1,2024-09-20 06:42:47.819988,,,,,,,,,Высокая,Умеренное,Средняя,Достаточная,Новичок,Значительные,Слабая,Позитивное,Низкая,Избегание,6.2,6,135.7,5,9,Легко обратимо,5,,,,,,,,,,,,,,,,,,,,,,,,,7.7,7.7,2.1,7.4,7.3,2.5,9.6,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Жильё и недвижимость,Покупка квартиры,Вариант_2,2024-08-28 06:42:47.820040,,,,,,,,,Низкая,Высокое,Низкая,Недостаточная,Эксперт,Значительные,Отсутствует,Негативное,Низкая,Избегание,5.3,1,79.5,7,3,Легко обратимо,1,,,,,,,,,,,,,,,,,,,,,,,,,9.8,6.6,5.5,5.6,1.5,8.7,2.5,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Жильё и недвижимость,Покупка квартиры,Вариант_3,2024-11-17 06:42:47.820088,,,,,,,,,Высокая,Умеренное,Низкая,Избыточная,Эксперт,Ограниченные,Отсутствует,Негативное,Высокая,Избегание,6.3,7,12.0,8,5,Частично обратимо,6,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.4,6.9,3.0,3.2,9.2,3.9,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Жильё и недвижимость,Покупка квартиры,Вариант_4,2025-07-14 06:42:47.820188,,,,,,,,,Средняя,Нет,Средняя,Недостаточная,Новичок,Умеренные,Отсутствует,Негативное,Высокая,Нейтральная,4.7,1,159.8,1,7,Необратимо,5,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.1,2.8,6.1,3.7,6.6,5.2,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Жильё и недвижимость,Аренда жилья,Вариант_1,2025-05-14 06:42:47.820262,,,,,,,,,Высокая,Умеренное,Высокая,Достаточная,Эксперт,Ограниченные,Сильная,Негативное,Высокая,Избегание,5.5,7,13.0,10,1,Частично обратимо,3,,,,,,,,,,,,,,,,,,,,,,,,,5.8,3.1,5.4,1.5,10.0,7.4,1.8,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Жильё и недвижимость,Аренда жилья,Вариант_2,2025-04-28 06:42:47.820313,,,,,,,,,Низкая,Нет,Низкая,Недостаточная,Новичок,Ограниченные,Слабая,Нейтральное,Средняя,Нейтральная,5.8,2,90.3,4,8,Частично обратимо,8,,,,,,,,,,,,,,,,,,,,,,,,,3.6,8.7,9.3,4.5,8.5,3.9,5.1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Жильё и недвижимость,Аренда жилья,Вариант_3,2025-04-14 06:42:47.820416,,,,,,,,,Низкая,Нет,Средняя,Достаточная,Средний,Значительные,Отсутствует,Позитивное,Средняя,Нейтральная,6.0,3,5.7,7,8,Необратимо,4,,,,,,,,,,,,,,,,,,,,,,,,,8.7,1.8,8.3,3.7,7.3,6.4,2.9,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Жильё и недвижимость,Переезд в другой город,Вариант_1,2025-01-03 06:42:47.820477,,,,,,,,,Высокая,Высокое,Низкая,Избыточная,Эксперт,Умеренные,Отсутствует,Негативное,Низкая,Избегание,4.0,8,136.1,2,6,Легко обратимо,1,,,,,,,,,,,,,,,,,,,,,,,,,1.9,8.1,2.1,1.6,8.0,3.0,2.8,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Жильё и недвижимость,Переезд в другой город,Вариант_2,2025-01-03 06:42:47.820526,,,,,,,,,Низкая,Умеренное,Высокая,Достаточная,Новичок,Ограниченные,Сильная,Позитивное,Высокая,Избегание,5.3,5,84.1,9,8,Легко обратимо,2,,,,,,,,,,,,,,,,,,,,,,,,,1.5,9.3,4.9,7.5,5.5,4.4,4.8,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Жильё и недвижимость,Переезд в другой город,Вариант_3,2025-04-06 06:42:47.820572,,,,,,,,,Средняя,Высокое,Высокая,Достаточная,Эксперт,Умеренные,Слабая,Позитивное,Высокая,Нейтральная,5.6,7,45.8,1,6,Необратимо,4,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.8,6.8,8.2,3.2,9.9,5.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Жильё и недвижимость,Ремонт квартиры,Вариант_1,2025-04-06 06:42:47.820620,,,,,,,,,Средняя,Высокое,Низкая,Недостаточная,Эксперт,Умеренные,Слабая,Негативное,Низкая,Избегание,6.7,10,53.8,6,10,Легко обратимо,6,,,,,,,,,,,,,,,,,,,,,,,,,1.5,9.9,5.8,7.9,10.0,9.8,1.9,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Жильё и недвижимость,Ремонт квартиры,Вариант_2,2024-11-10 06:42:47.820667,,,,,,,,,Низкая,Нет,Средняя,Избыточная,Новичок,Ограниченные,Сильная,Нейтральное,Низкая,Нейтральная,6.0,10,34.2,3,6,Необратимо,3,,,,,,,,,,,,,,,,,,,,,,,,,6.1,6.1,2.7,9.9,8.9,5.4,3.8,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Жильё и недвижимость,Ремонт квартиры,Вариант_3,2025-03-15 06:42:47.820719,,,,,,,,,Высокая,Высокое,Критическая,Избыточная,Новичок,Умеренные,Слабая,Нейтральное,Низкая,Избегание,3.4,7,133.1,8,6,Легко обратимо,6,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.3,7.3,2.3,2.0,5.7,4.3,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Жильё и недвижимость,Выбор районa,Вариант_1,2024-09-21 06:42:47.820767,,,,,,,,,Средняя,Высокое,Низкая,Недостаточная,Эксперт,Умеренные,Сильная,Негативное,Высокая,Принятие,6.1,2,157.4,3,6,Необратимо,2,,,,,,,,,,,,,,,,,,,,,,,,,6.3,2.6,3.8,7.2,2.1,7.6,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Жильё и недвижимость,Выбор районa,Вариант_2,2025-04-28 06:42:47.820819,,,,,,,,,Низкая,Умеренное,Средняя,Недостаточная,Эксперт,Ограниченные,Слабая,Нейтральное,Низкая,Принятие,6.4,1,8.6,8,7,Легко обратимо,7,,,,,,,,,,,,,,,,,,,,,,,,,4.1,3.9,6.7,9.7,8.4,7.0,7.6,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Жильё и недвижимость,Выбор районa,Вариант_3,2024-12-18 06:42:47.820864,,,,,,,,,Средняя,Нет,Низкая,Достаточная,Новичок,Умеренные,Слабая,Негативное,Низкая,Нейтральная,6.4,3,149.2,3,2,Необратимо,2,,,,,,,,,,,,,,,,,,,,,,,,,8.9,4.2,4.4,8.5,8.1,6.2,7.8,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
